UNITID,LATITUDE,LONGITUDE
163921,39.2963,-76.5982
163976,38.9815,-76.4914
164076,39.393,-76.6123
164173,39.4213,-76.7012
164216,39.2173,-76.0688
164270,39.5849,-77.0017
164447,42.1127,-72.5585
164465,42.3725,-72.5185
164492,42.3306,-71.919
164562,42.2954,-71.8284
164580,42.2965,-71.2695
164614,42.254,-71.1103
164632,42.0554,-72.584
164720,42.2692,-71.8119
164739,42.3888,-71.2201
164748,42.3469,-71.087
164872,42.3487,-71.0859
164924,42.3377,-71.1715
164933,42.3469,-71.0905
164988,42.3496,-71.0998
165015,42.3649,-71.2547
165024,41.9878,-70.9661
165167,42.3692,-71.1108
165334,42.2511,-71.8235
165529,42.2406,-71.114
165644,42.2712,-71.0112
165662,42.3553,-71.074
165671,42.3412,-71.103
165699,42.5542,-70.8407
165820,42.5893,-71.7894
165866,42.2973,-71.4372
165936,42.5882,-70.8191
166018,42.3248,-72.5324
166027,42.3744,-71.1182
166045,42.3264,-71.1905
166054,42.317,-71.1294
166124,42.2389,-71.8086
166391,42.3427,-71.2437
166452,42.3784,-71.1156
166513,42.6537,-71.3251
166629,42.391,-72.5274
166638,42.3145,-71.0387
166656,42.337,-71.101
166674,42.3369,-71.0995
166683,42.3601,-71.0921
166692,41.7405,-70.624
166850,42.6684,-71.1242
166869,42.3736,-71.0565
166911,42.5504,-70.8764
166939,42.2576,-72.5736
166948,42.2932,-71.1947
166984,42.339,-71.0969
167057,42.341,-71.0863
167251,42.331,-71.1421
167260,42.0425,-71.9296
167288,42.6924,-73.1035
167358,42.34,-71.0888
167394,42.1418,-72.6015
167455,42.3196,-71.157
167598,42.3511,-71.3091
167677,42.3441,-71.162
167729,42.5029,-70.8893
167783,42.3393,-71.1
167835,42.3179,-72.6381
167899,42.105,-72.5557
167987,41.6289,-71.0055
167996,42.0614,-71.0781
168005,42.3591,-71.0618
168148,42.406,-71.1206
168218,42.2938,-71.308
168227,42.3366,-71.095
168254,42.1158,-72.5188
168263,42.1316,-72.7957
168281,41.9668,-71.1842
168290,42.3425,-71.1058
168342,42.7117,-73.2059
168421,42.2751,-71.8088
168430,42.2675,-71.844
168528,41.8984,-84.0599
168546,42.2446,-84.7461
168591,43.3792,-84.6701
168740,41.9633,-86.3559
168786,42.9604,-85.6262
169080,42.9299,-85.5875
169248,43.6109,-84.7767
169327,42.3056,-83.6909
169442,42.3618,-83.0624
169479,42.8497,-85.5297
169716,42.4172,-83.1384
169798,42.2479,-83.6271
169910,43.6875,-85.4835
169983,43.0131,-83.7144
170000,42.9195,-85.6921
170037,42.979,-85.5956
170082,42.9652,-85.8875
170091,42.7542,-84.6387
170301,42.7881,-86.1054
170532,42.2904,-85.6013
170639,46.4917,-84.3655
170675,42.4741,-83.25
170806,42.3865,-83.4073
170842,42.4144,-83.1541
170967,42.6675,-83.145
170976,42.2761,-83.7431
171100,42.7248,-84.4736
171128,47.1183,-88.5464
171137,42.3173,-83.2314
171146,43.0188,-83.6885
171456,46.558,-87.4039
171492,43.629,-84.2763
171571,42.6725,-83.2189
171599,42.4409,-84.9229
171881,43.022,-85.5927
172033,42.3752,-83.1117
172051,43.5519,-83.9643
172264,41.906,-84.0151
172334,42.2062,-84.5519
172440,47.1271,-88.5894
172608,42.5739,-83.1472
172644,42.3586,-83.0729
172699,42.2826,-85.6151
173045,44.9656,-93.2414
173124,47.4825,-94.8745
173142,44.1665,-93.9907
173160,45.0571,-93.1593
173258,44.4623,-93.1547
173300,46.8594,-96.7656
173328,44.9498,-93.1549
173452,44.3046,-94.4734
173647,44.325,-93.9719
173665,44.9657,-93.164
173902,44.9367,-93.1699
173920,44.1473,-93.9985
174020,44.957,-93.0742
174066,44.9779,-93.2354
174075,47.802,-96.6099
174127,44.957,-93.2747
174206,43.9971,-92.4763
174233,46.8189,-92.0852
174251,45.5898,-95.9018
174358,46.8665,-96.7634
174437,44.9694,-93.2614
174491,45.033,-93.1716
174507,44.851,-93.3112
174525,47.4258,-94.9017
174747,45.5586,-94.319
174783,45.5524,-94.153
174792,45.5814,-94.3919
174817,44.0453,-91.6967
174844,44.4629,-93.1836
174862,44.8854,-93.743
174899,46.8154,-92.1057
174914,44.9417,-93.1894
175005,44.9245,-93.1819
175078,44.455,-95.7598
175272,44.0466,-91.6445
175342,31.8772,-91.1429
175421,32.3184,-90.1692
175430,34.6721,-89.0292
175616,33.7439,-90.7344
175856,32.2968,-90.2066
175980,32.3231,-90.1781
176017,34.3621,-89.5394
176026,32.3321,-90.1717
176035,33.4933,-88.4186
176044,33.5141,-90.3413
176053,32.3346,-90.3305
176080,33.425,-88.8797
176318,34.7769,-89.447
176336,31.7485,-89.1494
176372,31.3275,-89.3379
176406,32.4027,-90.1594
176479,31.3053,-89.2918
176628,38.9122,-94.5914
176664,37.2397,-93.2854
176789,38.8382,-94.5462
176910,39.396,-92.4273
176947,39.1505,-92.6853
176965,38.8005,-93.7148
177038,38.932,-94.6791
177065,38.9579,-92.3265
177083,40.2404,-94.6828
177144,40.1301,-91.5267
177214,37.2198,-93.2858
177339,37.221,-93.2626
177418,38.6427,-90.3157
177542,39.7308,-91.3914
177551,38.6317,-90.2243
177719,38.6369,-90.2606
177746,39.0464,-94.5836
177816,38.5846,-90.324
177940,38.5644,-92.1685
177968,38.7882,-90.5028
177986,38.6313,-90.5423
178059,38.6455,-90.5051
178244,38.642,-90.4626
178341,37.0957,-94.4609
178369,39.1087,-93.1902
178387,39.7575,-94.7856
178396,38.941,-92.3264
178402,39.0354,-94.578
178411,37.9559,-91.7759
178420,38.7113,-90.3089
178615,40.1882,-92.5805
178624,40.3527,-94.8843
178679,37.1052,-94.5109
178697,36.616,-93.2382
178721,39.1895,-94.6771
179043,39.0308,-94.5712
179159,38.6365,-90.2334
179256,38.7758,-90.2946
179326,37.6016,-93.4105
179450,38.9775,-94.6074
179548,38.9506,-92.323
179557,37.3158,-89.5291
179566,37.198,-93.2768
179867,38.6481,-90.3116
179894,38.5893,-90.3457
179946,38.8478,-91.9543
179955,39.2478,-94.4121
179964,38.8579,-91.9493
180106,46.6022,-112.0405
180179,45.7969,-108.523
180258,47.4903,-111.2702
180416,46.0122,-112.557
180461,45.6668,-111.0499
180489,46.8611,-113.9829
180522,48.5411,-109.6865
180595,45.7968,-108.5539
180692,45.2083,-112.6393
180814,41.1502,-95.9176
180832,41.2592,-95.9772
180878,40.7968,-96.6515
180948,42.8207,-103.0028
180984,40.9149,-97.0891
181002,41.2653,-95.947
181020,40.6231,-96.9497
181093,41.2447,-95.9279
181127,40.5904,-98.3736
181215,40.7008,-99.0982
181297,41.266,-96.0485
181330,41.4368,-96.4884
181376,41.1231,-96.0944
181394,41.2577,-96.0108
181428,41.2551,-95.9763
181446,40.8388,-96.6484
181464,40.8223,-96.7022
181534,40.4747,-95.7327
181604,41.2409,-96.0202
181738,40.7748,-96.6511
